2010/11/18,48.67,122484
2010/11/19,48.72,179964
2010/11/22,49.32,314290
2010/11/23,48.93,182492
2010/11/24,48.89,275688
2010/11/25,49.1,205409
2010/11/26,48.85,264375
2010/11/29,48.93,506250
2010/11/30,49.1,458479
2010/12/1,49.88,731551
2010/12/2,50.27,707346
2010/12/3,50.74,794549
2010/12/6,50.87,530331
2010/12/7,50.82,322503
2010/12/8,50.82,356733
2010/12/9,51.34,625268
2010/12/10,51,344119
2010/12/13,51.13,348065
2010/12/14,51,684971
2010/12/15,51.25,677636
2010/12/16,51.34,1112660
2010/12/17,51.77,1850508
2010/12/20,51.51,779248
2010/12/21,51.64,610080
2010/12/22,51.64,885524
2010/12/23,51.99,993055
2010/12/24,51.77,674289
2010/12/27,51.99,625717
2010/12/28,51.9,766791
2010/12/29,52.03,917997
2010/12/30,52.29,355424
2010/12/31,52.8,853433
2011/1/3,52.85,740821
2011/1/4,52.72,681759
2011/1/5,51.86,1255031
2011/1/6,51.77,413506
2011/1/7,51.3,735133
2011/1/10,51.47,253246
2011/1/11,52.33,771066
2011/1/12,52.54,348896
2011/1/13,52.5,621141
2011/1/14,52.46,446642
2011/1/17,52.33,310233
2011/1/18,52.76,592468
2011/1/19,53.36,948521
2011/1/20,53.02,321861
2011/1/21,52.46,708961
2011/1/24,52.42,1081663
2011/1/25,52.85,1147594
2011/1/26,53.32,1294264
2011/1/27,53.71,1071020
2011/1/28,54.18,743247
2011/2/8,53.83,697462
2011/2/9,53.32,758615
2011/2/10,52.33,1397844
2011/2/11,50.65,2616283
2011/2/14,51.08,657605
2011/2/15,51.38,584163
2011/2/16,51.47,1232166
2011/2/17,51.3,414979
2011/2/18,52.16,594817
2011/2/21,52.16,898301
2011/2/22,51.47,1872707
2011/2/23,50.74,1669981
2011/2/24,50.74,1699444
2011/2/25,51.17,2033280
2011/3/1,51.56,478921
2011/3/2,51.13,1369550
2011/3/3,51.77,1677337
2011/3/4,52.16,733065
2011/3/7,51.77,877235
2011/3/8,51.81,156203
2011/3/9,51.77,672707
2011/3/10,51.17,485401
2011/3/11,50.61,1319229
2011/3/14,50.57,1633885
2011/3/15,49.45,3543816
2011/3/16,49.28,1202366
2011/3/17,49.28,1156134
2011/3/18,49.66,751747
2011/3/21,49.96,1093702
2011/3/22,50.22,996809
2011/3/23,50.31,763909
2011/3/24,50.52,771549
2011/3/25,51.04,759378
2011/3/28,50.87,404102
2011/3/29,50.95,353260
2011/3/30,51.25,663979
2011/3/31,51.21,479324
2011/4/1,51.47,574322
2011/4/6,52.59,1869610
2011/4/7,52.72,1236839
2011/4/8,52.54,728183
2011/4/11,52.54,999423
2011/4/12,51.64,887467
2011/4/13,51.94,549444
2011/4/14,51.9,346819
2011/4/15,51.3,234240
2011/4/18,51.21,310861
2011/4/19,50.91,828487
2011/4/20,51.86,720350
2011/4/21,53.06,2109853
2011/4/22,52.97,1360631
2011/4/25,52.85,1655177
2011/4/26,52.63,1453699
2011/4/27,53.45,2886914
2011/4/28,53.45,1914440
2011/4/29,53.32,3134706
2011/5/3,53.45,1648530
2011/5/4,53.15,1212549
2011/5/5,53.53,1383075
